
2025-05-11 04:05:51 - Current Artist MP3 not found: 'Rav Chanan Coblentz', Source FILENAME: 'G:\Shiurim\R Chanan Coblentz Shlita\Rabbi Coblentz Hesped M.mp3'
2025-05-12 11:58:20 - Current Artist MP3 not found: 'Rav Efraim Glassman', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\E Y\נובהרדוק\USB Bucher R Belsky Transfer\06. Yom Tov & Zmanay Hashana\11. Pesach\05. pesach sheini-(corona) 5780 M.mp3'
2025-05-15 12:06:41 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\Torah Anywhere - Rabbi Y Sipper\39 יהושע פרק י_ז - about חצי שבט מנשה בעבר הירדן.mp3'
2025-05-16 14:58:52 - Current Artist MP3 not found: 'Rav Shalom Hertzberg', Source FILENAME: 'G:\Shiurim\R Shalom Hertzberg-Daily chizuk in halacha\Recording (116)Rav Shalom Hertzberg Lag Baomer 5785 M.mp3'
2025-05-25 02:18:24 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\20220627 Rabbi Y Sipper - Shoftim Perek Daled (I).mp3'
2025-05-25 02:58:45 - Current Artist MP3 not found: 'Rav Avraham Asher Makovsky', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\SFIRAS HAOMER SHAVUOUS\rabbi_avrohom asher_makovsky_can-i-still-make-a-bracha-when-i-count-sefira-if-i-told-someone-what-night-it-is-giving-respect-to-friends-a-matter-of-life-and-death_25_04_2018.mp3'
2025-05-25 18:19:43 - Current Artist MP3 not found: 'Rav ozer yona kushner M', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\Dovid kushner\reb oj kushner M.mp3'
2025-05-26 16:21:51 - Current Artist MP3 not found: 'Rav Yitzchok Hisiger Kashrus', Source FILENAME: 'G:\Shiurim\R Yitzchok Hisiger Kashrus plus\Episode 44C - Starbucks_ There's A Latte Options M.mp3'
2025-05-29 05:04:11 - Current Artist MP3 not found: 'Rav Ahron Lopiansky', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\SFIRAS HAOMER SHAVUOUS\shavuos-5779-panim-bpanim-the-connection-through-torah-yeshiva M.mp3'
2025-05-30 10:41:33 - Current Artist MP3 not found: 'Rav Yissocher Frand', Source FILENAME: 'G:\Shiurim\R Yissocher Frand\Mishnayos\Berachos\ברכות פרק ט, Masechet Berachos, Sefer משניות, Chapter 9 H.mp3'
2025-05-30 11:51:56 - Current Artist MP3 not found: 'R Shushan', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\R shushan\Kadsheinu bimitsvosecha.mp3'
